OBJECTID *,name,x,y,z,floor
508, ,608151.6695,4822358.054,118.2158,1
509, ,608143.403,4822356.757,117.9213,1
510, ,608140.6105,4822355.046,117.845,1
511, ,608140.6105,4822355.046,117.845,1
512, ,608137.1352,4822352.079,117.8127,1
513, ,608137.1352,4822352.079,117.8127,1
514, ,608130.9748,4822344.202,117.9303,1
515, ,608130.9748,4822344.202,117.9303,1
516, ,608126.7791,4822338.837,117.9878,1
517, ,608126.7791,4822338.837,117.9878,1
518, ,608121.9033,4822333.516,118.0054,1
519, ,608121.9033,4822333.516,118.0054,1
520, ,608114.4011,4822326.904,118.0119,1
521, ,608114.4011,4822326.904,118.0119,1
522, ,608110.5019,4822323.467,118.0194,1
523, ,608110.5019,4822323.467,118.0194,1
524, ,608103.1979,4822316.637,118.0217,1
525, ,608103.1979,4822316.637,118.0217,1
526, ,608097.0483,4822310.887,118.0198,1
527, ,608097.0483,4822310.887,118.0198,1
528, ,608092.8696,4822304.932,118.0167,1
529, ,608092.8696,4822304.932,118.0167,1
530, ,608090.8482,4822300.989,118.0181,1
531, ,608090.8482,4822300.989,118.0181,1
532, ,608090.5455,4822297.707,118.0209,1
533, ,608090.5455,4822297.707,118.0209,1
534, ,608090.9198,4822294.536,118.0144,1
535, ,608090.9198,4822294.536,118.0144,1
536, ,608091.6211,4822291.625,118.0001,1
537, ,608091.6211,4822291.625,118.0001,1
538, ,608092.8782,4822289.835,117.9859,1
539, ,608092.8782,4822289.835,117.9859,1
540, McGrath Valley Residence,608100.3868,4822283.23,117.768,1
541, ,608100.3868,4822283.23,117.768,1
542, ,608107.8953,4822276.625,117.3751,1
543, ,608115.4039,4822270.021,117.0214,1
544, ,608116.5171,4822269.042,117.0045,1
545, ,608107.8953,4822276.625,117.3751,1
546, ,608115.4039,4822270.021,117.0214,1
547, ,608116.5171,4822269.042,117.0045,1
548, ,608121.3961,4822266.132,116.9633,1
549, ,608121.3961,4822266.132,116.9633,1
550, ,608126.3361,4822265.456,116.8823,1
551, ,608126.3361,4822265.456,116.8823,1
552, ,608131.3205,4822265.536,116.8002,1
553, ,608131.3205,4822265.536,116.8002,1
554, ,608135.5307,4822266.526,116.7333,1
555, ,608135.5307,4822266.526,116.7333,1
556, ,608139.457,4822268.589,116.6636,1
557, ,608139.457,4822268.589,116.6636,1
558, ,608143.2254,4822271.927,116.5938,1
559, ,608143.2254,4822271.927,116.5938,1
560, ,608149.8009,4822279.461,116.5487,1
561, ,608149.8009,4822279.461,116.5487,1
562, ,608155.0553,4822285.481,116.5367,1
563, ,608155.0553,4822285.481,116.5367,1
564, ,608157.1504,4822290.358,116.5813,1
565, ,608157.1504,4822290.358,116.5813,1
566, ,608157.7298,4822294.522,116.6514,1
567, ,608157.7298,4822294.522,116.6514,1
568, ,608157.3977,4822298.083,116.7249,1
569, ,608157.3977,4822298.083,116.7249,1
570, ,608156.3204,4822301.254,116.7996,1
