OBJECTID *,Shape *,slope_max,slope_avg,edge_name,surface,length,start_x,start_y,start_z,end_x,end_y,end_z,floor
156,Polyline Z,0.981089,0.841108,unknown,sidewalk,2.738325,607864.5469,4822417.638,125.9156,607861.8635,4822418.184,125.9386,1
157,Polyline Z,0.966874,0.915417,unknown,sidewalk,3.879392,607861.8635,4822418.184,125.9386,607857.9875,4822418.022,125.9741,1
158,Polyline Z,0.58747,0.406556,unknown,sidewalk,4.46063,607857.9875,4822418.022,125.9741,607853.6919,4822416.82,125.9922,1
159,Polyline Z,0.34273,0.179655,unknown,sidewalk,3.20427,607853.6919,4822416.82,125.9922,607850.922,4822415.209,125.998,1
160,Polyline Z,0.230153,0.191554,unknown,sidewalk,3.816474,607850.922,4822415.209,125.998,607848.554,4822412.216,126.0053,1
161,Polyline Z,0.059814,0.02918,unknown,sidewalk,2.421397,607848.554,4822412.216,126.0053,607847.5063,4822410.033,126.0057,1
162,Polyline Z,0.122175,0.084031,unknown,sidewalk,2.975662,607847.5063,4822410.033,126.0057,607846.8823,4822407.123,126.0046,1
163,Polyline Z,0.355143,0.166844,unknown,sidewalk,3.957224,607846.8823,4822407.123,126.0046,607846.7923,4822403.167,126.0113,1
164,Polyline Z,0.741401,0.299668,unknown,sidewalk,9.99997,607846.7923,4822403.167,126.0113,607850.7292,4822393.975,125.9973,1
165,Polyline Z,0.896917,0.896917,unknown,sidewalk,0.982093,607850.7292,4822393.975,125.9973,607851.1158,4822393.072,125.9884,1
166,Polyline Z,1.905673,1.683156,unknown,sidewalk,3.295523,607851.1158,4822393.072,125.9884,607853.1692,4822390.494,125.933,1
167,Polyline Z,3.208719,3.025692,unknown,sidewalk,3.871621,607853.1692,4822390.494,125.933,607856.5292,4822388.571,125.8158,1
168,Polyline Z,3.315092,3.251791,unknown,sidewalk,2.45032,607856.5292,4822388.571,125.8158,607858.814,4822387.686,125.7362,1
169,Polyline Z,3.05249,2.909008,unknown,sidewalk,2.549231,607858.814,4822387.686,125.7362,607861.2732,4822387.014,125.662,1
170,Polyline Z,2.195679,1.878659,unknown,sidewalk,3.902168,607861.2732,4822387.014,125.662,607865.1347,4822387.576,125.5887,1
171,Polyline Z,1.018867,0.502385,unknown,sidewalk,4.321637,607865.1347,4822387.576,125.5887,607869.2422,4822388.919,125.5702,1
172,Polyline Z,1.65337,1.294996,unknown,sidewalk,3.86907,607869.2422,4822388.919,125.5702,607872.3897,4822391.17,125.6203,1
173,Polyline Z,2.184341,2.101379,unknown,sidewalk,3.861856,607872.3897,4822391.17,125.6203,607875.0517,4822393.967,125.7015,1
174,Polyline Z,2.320744,2.298282,unknown,sidewalk,2.810597,607875.0517,4822393.967,125.7015,607876.2065,4822396.53,125.7661,1
175,Polyline Z,1.048089,0.829075,unknown,sidewalk,1.54944,607896.8564,4822322.298,125.5066,607895.3478,4822322.652,125.4937,1
176,Polyline Z,2.23185,2.085192,unknown,sidewalk,1.313498,607895.3478,4822322.652,125.4937,607894.2849,4822323.424,125.4663,1
177,Polyline Z,2.904807,2.577754,unknown,sidewalk,9.999967,607894.2849,4822323.424,125.4663,607889.605,4822332.261,125.2086,1
178,Polyline Z,1.852859,1.705597,unknown,sidewalk,2.713718,607889.605,4822332.261,125.2086,607888.335,4822334.659,125.1623,1
179,Polyline Z,1.030088,1.01242,unknown,sidewalk,1.963179,607888.335,4822334.659,125.1623,607888.0291,4822336.598,125.1424,1
180,Polyline Z,0.410266,0.353582,unknown,sidewalk,1.788886,607888.0291,4822336.598,125.1424,607888.6242,4822338.285,125.1361,1
181,Polyline Z,0.375366,0.307381,unknown,sidewalk,1.758453,607888.6242,4822338.285,125.1361,607890.0624,4822339.297,125.1415,1
182,Polyline Z,0.528246,0.307761,unknown,sidewalk,10.000022,607890.0624,4822339.297,125.1415,607898.3395,4822344.909,125.1137,1
183,Polyline Z,0.550794,0.453749,unknown,sidewalk,9.999966,607898.3395,4822344.909,125.1137,607906.6166,4822350.52,125.0683,1
184,Polyline Z,0.318146,0.314252,unknown,sidewalk,1.709666,607923.1708,4822361.743,125.0924,607924.5859,4822362.703,125.0978,1
185,Polyline Z,0.332098,0.285367,unknown,sidewalk,9.999966,607914.8937,4822356.132,125.0639,607923.1708,4822361.743,125.0924,1
